rho,W,V,S,b,AR,Cd0,e,CL,CD,CL/CD,TR,PR,TA,PA,RC
1.112,60000,50,34,33,32.02941176,0.032,0.87,1.269572577,0.05042117,25.17935592,2382.904479,119145.2239,73161.4302,3658071.51,58.98210477
1.007,50000,20,47,54,62.04255319,0.1,0.93,5.28217372,0.254000844,20.7958904,2404.321193,48086.42385,66253.20163,1325064.033,25.53955218
0.525,70000,70,47,54,62.04255319,0.032,0.87,1.157909972,0.039910629,29.01257125,2412.747198,168892.3039,34541.14286,2417880,32.12839566
1.112,60000,50,47,54,62.04255319,0.032,0.87,0.918414205,0.036976667,24.8376684,2415.685685,120784.2842,73161.4302,3658071.51,58.9547871
0.819,60000,60,34,33,32.02941176,0.032,0.87,1.197060021,0.048376986,24.74441069,2424.790016,145487.401,53884.18286,3233050.971,51.45939284
0.819,50000,60,47,54,62.04255319,0.032,0.87,0.721631927,0.035072507,20.57543027,2430.082839,145804.9703,53884.18286,3233050.971,61.74492002
1.007,50000,60,34,33,32.02941176,0.032,0.87,0.811314264,0.039522815,20.5277451,2435.727828,146143.6697,66253.20163,3975192.098,76.58096856
0.413,60000,60,34,33,32.02941176,0.032,0.87,2.373830888,0.096402346,24.62420241,2436.627144,146197.6286,27172.36571,1630341.943,24.73573857
0.413,50000,40,47,54,62.04255319,0.1,0.93,3.219823811,0.157221858,20.47949215,2441.466792,97658.67169,27172.36571,1086894.629,19.78471914
0.413,70000,80,47,54,62.04255319,0.032,0.87,1.126938334,0.039493104,28.53506635,2453.122034,196249.7627,27172.36571,2173789.257,28.25056421
0.413,50000,30,47,54,62.04255319,0.1,0.93,5.72413122,0.28084933,20.38150216,2453.204853,73596.14559,27172.36571,815170.9714,14.83149652
1.007,80000,30,47,54,62.04255319,0.032,0.87,3.756212423,0.115245684,32.59308537,2454.508344,73635.25032,66253.20163,1987596.049,23.92450998
1.225,60000,50,34,33,32.02941176,0.032,0.87,1.152460984,0.0471794,24.42720741,2456.277502,122813.8751,80596,4029800,65.11643541
0.525,50000,40,34,33,32.02941176,0.032,0.87,3.50140056,0.172115355,20.34333641,2457.807264,98312.29058,34541.14286,1381645.714,25.66666847
0.413,60000,60,47,54,62.04255319,0.051,0.77,1.717239366,0.070658557,24.3033461,2468.79585,148127.751,27172.36571,1630341.943,24.70356986
1.007,90000,40,47,54,62.04255319,0.032,0.87,2.376978174,0.065335872,36.38090509,2473.825205,98953.0082,66253.20163,2650128.065,28.34638952
1.112,90000,40,47,54,62.04255319,0.032,0.87,2.152533293,0.059337651,36.27601131,2480.978386,99239.13545,73161.4302,2926457.208,31.41353414
0.413,90000,60,47,54,62.04255319,0.032,0.87,2.575859049,0.071147644,36.20441823,2485.884442,149153.0665,27172.36571,1630341.943,16.45765418
0.525,90000,60,47,54,62.04255319,0.032,0.87,2.026342452,0.056226302,36.0390491,2497.291196,149837.4717,34541.14286,2072468.571,21.36256777
1.225,50000,50,47,54,62.04255319,0.032,0.87,0.694745983,0.034847827,19.93656573,2507.954513,125397.7257,80596,4029800,78.08804549
1.225,90000,40,47,54,62.04255319,0.032,0.87,1.953973079,0.054526753,35.83512654,2511.502224,100460.089,80596,3223840,34.70422123
0.819,60000,60,47,54,62.04255319,0.032,0.87,0.865958313,0.03642441,23.77412022,2523.752696,151425.1618,53884.18286,3233050.971,51.36043016
0.413,90000,70,47,54,62.04255319,0.032,0.87,1.892467873,0.053130923,35.61895341,2526.744651,176872.1256,27172.36571,1902065.6,19.16881638
0.819,50000,30,47,54,62.04255319,0.1,0.93,2.886527709,0.145988496,19.77229573,2528.790823,75863.7247,53884.18286,1616525.486,30.81323522
1.112,50000,40,47,54,62.04255319,0.051,0.77,1.195851829,0.060533332,19.75526199,2530.971243,101238.8497,73161.4302,2926457.208,56.50436717
1.007,80000,50,47,54,62.04255319,0.032,0.87,1.352236472,0.042788641,31.60269761,2531.429468,126571.4734,66253.20163,3312660.082,39.8261076
0.819,90000,50,47,54,62.04255319,0.032,0.87,1.870469956,0.052642529,35.53153654,2532.961104,126648.0552,53884.18286,2694209.143,28.52845653
1.112,70000,50,47,54,62.04255319,0.032,0.87,1.071483239,0.038773797,27.63420948,2533.092182,126654.6091,73161.4302,3658071.51,50.44881287
0.525,90000,50,47,54,62.04255319,0.032,0.87,2.917933131,0.082235659,35.48257714,2536.456122,126822.8061,34541.14286,1727057.143,17.78038152
0.819,90000,40,47,54,62.04255319,0.032,0.87,2.922609306,0.0823968,35.46993692,2537.360024,101494.401,53884.18286,2155367.314,22.82081015
